date,open,high,low,close,volume
2026-01-01,399.7000,400.1500,394.5500,397.7000,551789
2026-01-02,399.3000,405.5000,398.8500,403.1000,1074307
2026-01-05,403.3000,418.5000,403.0000,413.8000,1432070
2026-01-06,415.6500,415.6500,410.1000,413.0000,747794
2026-01-07,413.0000,416.1000,409.5000,415.6000,335721
2026-01-08,415.6000,422.9000,414.0500,415.6500,1003704
2026-01-09,416.1500,424.5000,416.0000,418.8500,1700761
2026-01-12,419.0500,419.3500,410.4500,417.6500,1205696
2026-01-13,419.1500,422.3000,409.5000,413.3000,674763
2026-01-14,411.9000,420.8000,411.0000,417.9000,651442
2026-01-16,415.1000,417.4000,406.3000,410.1500,1451781
2026-01-19,409.3000,414.9000,408.3500,412.8500,374334
2026-01-20,413.2000,415.5000,406.2500,409.0000,1243362
2026-01-21,406.0500,409.5000,397.1000,402.5000,978535
2026-01-22,406.0000,418.5500,406.0000,417.6000,778835
2026-01-23,418.4500,418.7500,408.3000,409.9000,951727
2026-01-27,418.0000,419.2500,411.7000,416.3500,457621
2026-01-28,417.4000,457.9500,417.4000,453.4000,6720985
2026-01-29,454.2500,456.1500,438.5000,444.5000,2767226
2026-01-30,446.0500,452.0000,439.4000,449.0000,1829057
2026-02-02,432.4500,441.2500,420.2500,439.1000,2076415
2026-02-03,460.0000,460.0000,435.1500,439.0000,2000490
2026-02-04,438.3000,443.3500,434.0000,439.1000,1367031
2026-02-05,440.4500,440.4500,428.1000,432.8500,504075
2026-02-06,433.0500,433.2000,425.7000,429.5500,479989
2026-02-09,430.8500,439.4500,429.6000,437.5000,472974
2026-02-10,437.5000,441.2500,433.7000,437.1500,675524
2026-02-11,437.6000,439.0000,434.2000,437.6000,289341
2026-02-12,437.5000,444.8500,434.5000,443.8500,1376394
2026-02-13,444.3500,446.1500,432.8500,435.4000,885950
2026-02-16,434.5000,438.5000,429.3000,438.0500,525048
2026-02-17,441.0500,449.3000,440.2500,446.9000,1469010
2026-02-18,450.0000,453.2500,445.8500,447.6500,1144972
2026-02-19,448.0000,449.1000,433.0000,435.5500,480869
2026-02-20,434.4500,445.1500,434.4500,441.1500,826697
2026-02-23,442.2500,445.2500,435.8000,439.7000,933215
2026-02-24,437.2500,437.3000,430.5000,435.0000,405237
2026-02-25,435.5000,441.0000,433.5000,439.3000,498365
2026-02-26,441.0000,449.8500,440.0000,449.0000,1082282
2026-02-27,449.0000,449.0000,441.5000,444.4500,651054
2026-03-02,442.0000,456.8000,441.7000,453.7500,6332363
2026-03-04,461.0000,461.0000,444.6000,446.7000,1948076
2026-03-05,450.8000,467.8000,446.2000,460.0000,1856040
2026-03-06,461.8000,473.2500,460.5000,468.3500,1982992
2026-03-09,469.8000,470.0000,450.0500,457.5000,1025397
2026-03-10,464.0000,466.0500,453.5500,463.4000,1050991
2026-03-11,463.0500,469.7000,453.1000,454.0500,890620
2026-03-12,451.0500,454.9000,448.5500,453.7500,416043
2026-03-13,451.5000,452.3000,433.5500,439.6000,1405152
2026-03-16,434.3000,437.8000,422.3000,429.4000,1514103
2026-03-17,432.0500,441.1500,430.5000,439.6500,415591
2026-03-18,445.0500,447.7000,440.5500,442.5000,845646
2026-03-19,437.8000,439.1000,428.3000,430.8000,624989
2026-03-20,431.4000,438.7500,424.7000,426.0500,752534
2026-03-23,421.6000,421.6000,404.0000,405.4000,829592
2026-03-24,416.4000,417.5000,408.8000,414.7000,829807
2026-03-25,416.9500,421.9000,412.6000,413.6000,1114146
2026-03-27,411.0500,413.4500,403.2000,404.7500,1534227
2026-03-30,399.3000,413.1500,399.3000,400.6000,1414389
2026-04-01,416.6000,430.0500,412.8000,418.8000,1340540
2026-04-02,416.4500,423.5000,407.5000,421.5000,1363341
