date,open,high,low,close,volume
2026-01-19,4750.1499,4950.0000,4750.1499,4942.5000,100814
2026-01-20,4938.0000,4938.0000,4776.5000,4792.1001,41573
2026-01-21,4763.6001,4950.0000,4750.0000,4857.7998,96006
2026-01-22,4898.3501,4932.7500,4881.5000,4913.7998,34993
2026-01-23,4840.1001,4864.6499,4687.0498,4703.8999,255722
2026-01-26,4703.8999,4703.8999,4703.8999,4703.8999,0
2026-01-27,4704.1001,4783.4502,4645.0000,4769.6499,21125
2026-01-28,4751.7002,4795.0000,4705.8501,4748.4502,56449
2026-01-29,4733.3501,4745.0000,4588.0000,4622.3999,93127
2026-01-30,4600.0000,4660.0000,4546.3999,4597.3501,64406
2026-02-02,4602.8501,4701.0000,4583.3999,4687.5000,28968
2026-02-03,4891.1499,4990.0000,4834.6001,4945.5498,238314
2026-02-04,4917.2002,4978.9502,4890.0000,4963.8999,33573
2026-02-05,4835.1499,4939.7002,4782.4502,4933.9502,53658
2026-02-06,4875.8999,4930.6499,4868.3999,4911.7002,21869
2026-02-09,4890.2500,4980.0000,4890.2500,4964.8999,24793
2026-02-10,4955.0000,4994.0000,4926.8501,4959.8999,32669
2026-02-11,4969.7500,5054.9502,4948.2002,5012.2998,19181
2026-02-12,5000.1001,5000.1001,4930.2002,4983.5000,39590
2026-02-13,4953.1499,4990.9502,4900.0000,4929.8501,17009
2026-02-16,4929.6499,4975.3999,4904.2998,4942.3501,12675
2026-02-17,4975.0000,5007.4502,4938.5498,4977.0498,16363
2026-02-18,4951.5000,4998.7002,4951.5000,4979.5498,12240
2026-02-19,4950.0000,4950.0000,4794.2500,4818.5000,27327
2026-02-20,4770.2002,4879.3501,4770.2002,4853.8999,70674
2026-02-23,4585.2002,4869.2998,4585.2002,4861.2500,9041
2026-02-24,4791.3999,4860.9502,4791.3999,4850.2002,4900
2026-02-25,4833.7500,4975.0000,4833.7500,4947.8999,63415
2026-02-26,4950.1001,4968.8999,4900.0000,4937.4502,139160
2026-02-27,4907.8999,4910.6001,4791.6499,4823.0498,263298
2026-03-02,4460.8999,4664.9502,4460.8999,4521.3999,397889
2026-03-04,4360.0498,4430.0000,4293.0000,4392.7002,282084
2026-03-05,4392.7002,4559.1001,4318.8501,4504.8501,116408
2026-03-06,4488.0000,4488.0000,4377.6001,4404.6001,215145
2026-03-09,4139.9000,4256.8500,4035.6500,4236.0000,329884
2026-03-10,4419.9500,4475.2500,4343.5000,4382.4500,132719
2026-03-11,4345.6001,4512.2002,4340.0000,4351.6001,137217
2026-03-12,4265.0000,4296.7998,4190.2998,4253.4502,62049
2026-03-13,4212.2500,4244.4502,4129.2998,4157.7002,93430
2026-03-16,4139.7998,4269.0498,4091.8999,4222.5000,43762
2026-03-17,4224.3501,4305.0000,4210.0000,4287.7500,64202
2026-03-18,4304.2500,4417.5000,4300.0000,4360.4502,217268
2026-03-19,4301.2500,4301.6499,4148.2998,4157.2002,73055
2026-03-20,4185.0000,4245.4502,4134.2998,4147.8999,172275
2026-03-23,4100.0000,4101.7500,3894.8000,3946.5500,180446
2026-03-24,4097.0000,4165.0000,4021.2000,4151.1499,116303
2026-03-25,4208.2998,4318.9502,4184.7500,4294.7998,100630
2026-03-27,4210.5000,4250.0000,4092.0000,4099.7002,870652
2026-03-30,4010.3000,4095.3000,3930.7000,3943.7500,547910
2026-04-01,4035.3501,4332.0000,4035.3501,4180.8999,237136
2026-04-02,4089.9500,4213.4502,3970.0500,4194.1001,126774
